ch1,ch2,ch3,ch4,Value
818.351623535156,813.113525390625,822.783874511718,819.96337890625,F
807.87548828125,811.90478515625,821.575073242187,822.380981445312,F
793.772888183593,813.516479492187,821.575073242187,814.322326660156,F
797.399291992187,810.695983886718,823.186828613281,807.069580078125,F
814.322326660156,809.487182617187,825.201477050781,822.380981445312,F
816.336975097656,818.754577636718,824.798522949218,829.230773925781,F
804.652038574218,813.113525390625,826.00732421875,827.216125488281,F
787.728942871093,796.190490722656,828.424926757812,809.89013671875,F
787.325988769531,792.564086914062,823.99267578125,797.399291992187,F
782.4908447,804.2490845,753.4798584,770.8058472,F
778.0585938,803.4432373,753.0769043,762.3442993,F
799.0109863,811.5018311,757.1062012,781.2820435,F
808.6813354,812.3076782,764.7619019,781.2820435,F
800.2197876,818.3516235,774.0292969,772.8204956,F
803.0402832,836.8864746,763.1502075,778.4615479,F
805.8607788,844.1392212,754.6886597,787.3259888,F
799.8168335,810.6959839,753.4798584,784.1025391,F
789.3406372,804.2490845,760.3296509,776.8497925,F
797.399292,799.4139404,772.4176025,786.1171875,F
802.234436,807.8754883,769.1941528,787.7289429,F
795.7875366,830.0366211,769.5970459,788.131897,F
782.0878906,813.9194336,767.5823975,773.2234497,F
779.6703491,823.9926758,763.9560547,759.9267578,F
780.8791504,847.3626099,757.5091553,754.2857056,F
779.267395,843.7362671,775.2380981,757.5091553,F
781.6849976,835.2747192,762.3442993,763.9560547,F
784.1025391,825.6043701,759.5238037,767.5823975,F
782.8937988,805.4578857,784.5054932,769.5970459,F
775.2380981,814.3223267,772.8204956,766.7765503,F
776.8497925,835.6776733,765.567749,774.432251,F
775.6410522,836.0805664,778.8644409,780.0732422,F
769.5970459,832.0512695,775.2380981,774.432251,F
771.2088013,822.7838745,772.4176025,771.2088013,F
780.0732422,798.6080322,780.0732422,782.4908447,F
792.967041,801.8314819,772.8204956,790.1465454,F
787.3259888,826.0073242,778.4615479,781.6849976,F
783.699646,834.065918,787.7289429,774.0292969,F
791.7582397,840.9157715,790.1465454,788.131897,F
793.7728882,856.6300659,808.2783813,796.9963379,F
784.1025391,851.7948608,794.9816895,784.1025391,F
779.267395,854.2124634,775.6410522,783.699646,F
786.1171875,873.1502075,784.5054932,796.5933838,F
786.5201416,892.8937988,790.5494385,796.1904907,F
784.5054932,909.4139404,789.3406372,793.3699341,F
782.4908447,907.8021851,782.0878906,788.9377441,F
786.5201416,903.3699341,776.8497925,791.7582397,F
815.1282349,817.1428833,799.8168335,826.0073242,F
801.4285889,848.9743652,798.6080322,819.9633789,F
790.1465454,867.9121094,794.1758423,809.8901367,F
800.2197876,869.1208496,806.666687,817.5457764,F
795.7875366,852.600708,805.8607788,821.1721802,F
791.7582397,827.6190186,798.6080322,821.5750732,F
772.4176025,803.4432373,784.9084473,794.5787354,F
765.9707031,761.9414063,783.2966919,786.1171875,F
778.8644409,730.5128174,796.5933838,804.6520386,F
782.4908447,778.8644409,808.2783813,805.4578857,F
782.8937988,796.1904907,802.234436,790.5494385,F
778.8644409,765.164856,792.5640869,786.9230957,F
782.0878906,736.5567627,793.3699341,782.0878906,F
791.3552856,743.8095093,799.0109863,787.7289429,F
790.9523926,712.7838745,791.3552856,796.9963379,F
782.8937988,698.2783813,786.9230957,795.7875366,F
774.835144,764.3589478,794.5787354,789.3406372,F
774.835144,784.9084473,791.3552856,789.3406372,F
795.3846436,810.6959839,797.8021851,806.666687,F
793.3699341,806.2637329,796.9963379,794.1758423,F
775.6410522,828.0219727,792.1611938,782.0878906,F
775.6410522,874.3589478,783.699646,782.8937988,F
791.7582397,807.4725342,789.7435913,803.0402832,F
801.4285889,761.5384521,801.0256348,810.2930298,F
791.3552856,799.8168335,785.7142944,803.8461304,F
777.6557007,797.8021851,779.6703491,780.4761963,F
792.1611938,755.8974609,792.1611938,793.7728882,F
797.399292,759.1208496,775.6410522,800.6226807,F
792.5640869,820.366272,780.0732422,784.1025391,F
799.0109863,807.8754883,795.3846436,794.1758423,F
792.5640869,763.9560547,807.0695801,788.9377441,F
798.2051392,743.0036621,808.2783813,799.8168335,F
781.6849976,743.0036621,782.8937988,792.1611938,F
768.7911987,767.1795044,786.5201416,785.7142944,F
770.4029541,763.5531006,792.967041,789.7435913,F
780.8791504,780.0732422,790.5494385,798.6080322,F
816.336975097656,800.622680664062,811.90478515625,832.454223632812,F
824.798522949218,808.681335449218,808.681335449218,819.96337890625,F
868.717956542968,816.336975097656,804.249084472656,823.589721679687,F
832.857116699218,819.96337890625,799.816833496093,813.516479492187,F
837.692321777343,815.93408203125,809.487182617187,826.00732421875,F
814.322326660156,810.695983886718,802.637390136718,819.96337890625,F
796.593383789062,812.710632324218,818.351623535156,810.695983886718,F
792.161193847656,813.91943359375,810.293029785156,799.010986328125,F
828.827819824218,812.307678222656,795.787536621093,824.798522949218,F
809.89013671875,816.336975097656,802.234436035156,825.201477050781,F
825.604370117187,809.89013671875,806.666687011718,820.769226074218,F
804.249084472656,810.695983886718,812.710632324218,826.410278320312,F
842.930419921875,814.725280761718,810.293029785156,833.663024902343,F
807.87548828125,804.652038574218,807.472534179687,813.516479492187,F
821.97802734375,818.351623535156,804.652038574218,814.322326660156,F
821.575073242187,814.322326660156,807.87548828125,813.516479492187,F
819.96337890625,815.93408203125,805.457885742187,828.02197265625,F
749.047607421875,815.128234863281,808.278381347656,822.783874511718,F
839.706970214843,817.94873046875,807.472534179687,836.483520507812,F
813.516479492187,807.069580078125,805.457885742187,815.531127929687,F
813.516479492187,814.322326660156,804.249084472656,811.098876953125,F
829.230773925781,809.487182617187,812.307678222656,820.366271972656,F
817.545776367187,815.531127929687,808.278381347656,817.94873046875,F
835.274719238281,813.113525390625,809.084228515625,834.06591796875,F
825.201477050781,810.695983886718,803.443237304687,821.97802734375,F
825.201477050781,812.710632324218,809.89013671875,805.457885742187,F
801.428588867187,807.87548828125,802.637390136718,819.560424804687,F
819.157531738281,812.307678222656,808.681335449218,822.380981445312,F
820.366271972656,819.157531738281,809.487182617187,827.619018554687,F
816.336975097656,817.142883300781,815.531127929687,817.142883300781,F
811.501831054687,801.428588867187,802.234436035156,1091.94140625,F
812.710632324218,814.322326660156,799.413940429687,821.97802734375,F
814.322326660156,803.846130371093,800.219787597656,804.652038574218,F
809.084228515625,803.040283203125,796.593383789062,804.652038574218,F
826.410278320312,811.90478515625,797.802185058593,807.87548828125,F
792.967041015625,805.054931640625,796.190490722656,796.996337890625,F
789.743591308593,804.652038574218,800.622680664062,641.062255859375,F
821.97802734375,805.860778808593,799.816833496093,817.94873046875,F
801.025634765625,800.622680664062,799.413940429687,845.750915527343,F
808.681335449218,805.457885742187,799.010986328125,810.695983886718,F
803.443237304687,799.413940429687,798.608032226562,811.501831054687,F
810.695983886718,806.666687011718,802.637390136718,806.666687011718,F
784.1025390625,806.666687011718,795.787536621093,781.282043457031,F
826.813171386718,807.472534179687,799.413940429687,832.454223632812,F
805.457885742187,805.054931640625,801.025634765625,803.443237304687,F
811.90478515625,805.457885742187,798.608032226562,812.710632324218,F
810.695983886718,807.87548828125,803.846130371093,802.234436035156,F
823.186828613281,806.263732910156,799.816833496093,808.278381347656,F
792.967041015625,801.025634765625,801.831481933593,804.249084472656,F
818.351623535156,810.293029785156,800.219787597656,815.93408203125,F
808.278381347656,806.666687011718,801.428588867187,810.293029785156,F
792.564086914062,811.098876953125,805.054931640625,795.787536621093,F
804.652038574218,803.846130371093,799.010986328125,799.010986328125,F
814.322326660156,809.89013671875,804.249084472656,823.99267578125,F
824.395629882812,810.293029785156,797.399291992187,812.710632324218,F
810.695983886718,796.593383789062,800.622680664062,819.96337890625,F
809.89013671875,810.293029785156,798.205139160156,804.652038574218,F
807.87548828125,803.040283203125,798.608032226562,814.322326660156,F
812.710632324218,804.249084472656,799.010986328125,785.714294433593,F
812.710632324218,810.293029785156,800.219787597656,806.263732910156,F
801.025634765625,803.040283203125,795.787536621093,801.428588867187,F
802.234436035156,805.457885742187,798.608032226562,811.501831054687,F
803.443237304687,803.040283203125,799.816833496093,814.725280761718,F
819.560424804687,806.666687011718,795.787536621093,807.472534179687,F
809.89013671875,807.472534179687,800.622680664062,808.278381347656,F
819.157531738281,809.89013671875,793.772888183593,812.710632324218,F
836.08056640625,796.996337890625,803.846130371093,839.304016113281,F
796.593383789062,811.098876953125,798.608032226562,786.923095703125,F
763.150207519531,779.670349121093,808.681335449218,764.761901855468,F
839.706970214843,815.128234863281,797.802185058593,835.677673339843,F
815.531127929687,803.443237304687,807.87548828125,817.545776367187,F
763.150207519531,790.549438476562,805.054931640625,767.9853515625,F
768.791198730468,788.534790039062,803.443237304687,775.641052246093,F
803.443237304687,795.384643554687,800.219787597656,801.025634765625,F
819.560424804687,821.172180175781,801.025634765625,814.725280761718,F
771.611694335937,789.743591308593,803.443237304687,776.849792480468,F
778.461547851562,812.710632324218,803.443237304687,780.476196289062,F
836.08056640625,827.216125488281,801.831481933593,823.186828613281,F
811.90478515625,815.128234863281,798.608032226562,803.443237304687,F
753.479858398437,795.384643554687,803.443237304687,762.747253417968,F
809.084228515625,814.725280761718,799.413940429687,812.710632324218,F
786.520141601562,797.802185058593,803.040283203125,786.520141601562,F
810.695983886718,789.340637207031,803.443237304687,824.395629882812,F
818.351623535156,808.681335449218,798.608032226562,819.157531738281,F
775.238098144531,813.113525390625,803.040283203125,775.238098144531,F
798.608032226562,771.611694335937,799.816833496093,799.010986328125,F
841.318664550781,806.263732910156,803.040283203125,840.512817382812,F
780.879150390625,800.219787597656,804.249084472656,782.893798828125,F
778.461547851562,789.743591308593,796.996337890625,776.446899414062,F
821.575073242187,809.89013671875,799.816833496093,813.516479492187,F
818.754577636718,817.545776367187,799.816833496093,812.307678222656,F
776.446899414062,782.087890625,803.443237304687,772.820495605468,F
798.205139160156,800.622680664062,801.025634765625,784.908447265625,F
826.813171386718,806.666687011718,791.758239746093,822.380981445312,F
811.098876953125,810.293029785156,798.205139160156,805.860778808593,F
795.787536621093,796.190490722656,797.802185058593,772.417602539062,F
800.622680664062,794.578735351562,803.443237304687,749.853454589843,F
807.472534179687,791.355285644531,805.457885742187,757.106201171875,F
804.652038574218,791.758239746093,798.608032226562,769.597045898437,F
809.487182617187,795.384643554687,794.578735351562,780.476196289062,F
811.90478515625,799.816833496093,792.161193847656,789.743591308593,F
814.322326660156,801.428588867187,792.967041015625,799.010986328125,F
810.695983886718,798.608032226562,791.355285644531,799.816833496093,F
802.234436035156,795.384643554687,791.355285644531,799.816833496093,F
799.010986328125,798.205139160156,795.384643554687,806.666687011718,F
795.787536621093,799.413940429687,795.787536621093,811.90478515625,F
796.190490722656,799.816833496093,793.772888183593,821.575073242187,F
801.428588867187,800.622680664062,794.981689453125,824.798522949218,F
803.846130371093,799.413940429687,795.384643554687,814.322326660156,F
804.249084472656,799.010986328125,791.355285644531,814.322326660156,F
807.87548828125,798.205139160156,788.937744140625,815.93408203125,F
811.501831054687,799.010986328125,792.161193847656,812.710632324218,F
807.87548828125,797.399291992187,795.787536621093,809.487182617187,F
802.234436035156,795.787536621093,798.608032226562,809.89013671875,F
809.487182617187,799.816833496093,802.234436035156,812.307678222656,F
814.322326660156,799.816833496093,798.608032226562,807.87548828125,F
811.098876953125,797.802185058593,796.593383789062,812.710632324218,F
810.293029785156,796.996337890625,797.802185058593,814.725280761718,F
813.113525390625,799.816833496093,793.772888183593,804.652038574218,F
813.113525390625,804.652038574218,789.743591308593,806.263732910156,F
811.501831054687,803.040283203125,789.743591308593,810.695983886718,F
810.293029785156,800.622680664062,795.384643554687,812.307678222656,F
805.860778808593,804.249084472656,799.413940429687,813.113525390625,F
806.666687011718,805.860778808593,800.622680664062,814.725280761718,F
807.069580078125,801.025634765625,801.831481933593,814.725280761718,F
807.069580078125,801.025634765625,800.622680664062,805.054931640625,F
809.487182617187,799.413940429687,797.399291992187,803.040283203125,F
806.666687011718,797.802185058593,799.010986328125,805.860778808593,F
800.622680664062,797.802185058593,805.054931640625,807.472534179687,F
803.846130371093,799.816833496093,804.652038574218,810.293029785156,F
806.263732910156,803.443237304687,802.637390136718,810.293029785156,F
805.457885742187,799.010986328125,801.428588867187,806.666687011718,F
807.472534179687,799.010986328125,797.802185058593,805.860778808593,F
802.234436035156,797.399291992187,796.593383789062,813.113525390625,F
799.010986328125,794.981689453125,796.996337890625,815.531127929687,F
797.802185058593,798.205139160156,792.564086914062,810.293029785156,F
796.996337890625,799.816833496093,790.549438476562,806.263732910156,F
797.802185058593,799.816833496093,792.564086914062,807.069580078125,F
806.263732910156,802.637390136718,796.996337890625,808.681335449218,F
809.89013671875,805.457885742187,803.040283203125,810.695983886718,F
803.846130371093,804.249084472656,799.413940429687,806.666687011718,F
800.622680664062,801.428588867187,797.399291992187,801.025634765625,F
804.249084472656,797.399291992187,796.996337890625,803.846130371093,F
801.428588867187,802.637390136718,792.564086914062,804.652038574218,F
795.787536621093,806.666687011718,791.355285644531,806.263732910156,F
796.593383789062,805.860778808593,791.355285644531,809.084228515625,F
801.025634765625,803.846130371093,795.787536621093,810.695983886718,F
805.457885742187,797.399291992187,797.802185058593,810.293029785156,F
804.249084472656,798.205139160156,793.369934082031,805.054931640625,F
799.816833496093,795.787536621093,792.161193847656,799.816833496093,F
792.967041015625,795.787536621093,792.967041015625,805.860778808593,F
788.131896972656,803.040283203125,792.161193847656,809.487182617187,F
792.161193847656,804.652038574218,795.384643554687,802.637390136718,F
805.457885742187,804.652038574218,798.205139160156,804.249084472656,F
807.069580078125,801.831481933593,797.802185058593,806.666687011718,F
807.472534179687,798.205139160156,799.413940429687,805.457885742187,F
810.293029785156,798.205139160156,798.608032226562,807.87548828125,F
807.472534179687,803.040283203125,798.608032226562,813.516479492187,F
809.487182617187,798.205139160156,798.608032226562,819.560424804687,F
811.501831054687,799.010986328125,793.772888183593,817.545776367187,F
807.069580078125,808.278381347656,790.146545410156,813.113525390625,F
805.054931640625,805.860778808593,792.967041015625,811.098876953125,F
801.025634765625,799.413940429687,799.413940429687,808.278381347656,F
803.846130371093,796.996337890625,798.608032226562,800.622680664062,F
815.128234863281,817.142883300781,799.816833496093,826.00732421875,F
801.428588867187,848.974365234375,798.608032226562,819.96337890625,F
790.146545410156,867.912109375,794.175842285156,809.89013671875,F
800.219787597656,869.120849609375,806.666687011718,817.545776367187,F
795.787536621093,852.600708007812,805.860778808593,821.172180175781,F
791.758239746093,827.619018554687,798.608032226562,821.575073242187,F
772.417602539062,803.443237304687,784.908447265625,794.578735351562,F
765.970703125,761.94140625,783.296691894531,786.1171875,F
778.864440917968,730.512817382812,796.593383789062,804.652038574218,F
782.490844726562,778.864440917968,808.278381347656,805.457885742187,F
782.893798828125,796.190490722656,802.234436035156,790.549438476562,F
778.864440917968,765.164855957031,792.564086914062,786.923095703125,F
782.087890625,736.556762695312,793.369934082031,782.087890625,F
791.355285644531,743.809509277343,799.010986328125,787.728942871093,F
790.952392578125,712.783874511718,791.355285644531,796.996337890625,F
782.893798828125,698.278381347656,786.923095703125,795.787536621093,F
774.835144042968,764.358947753906,794.578735351562,789.340637207031,F
774.835144042968,784.908447265625,791.355285644531,789.340637207031,F
795.384643554687,810.695983886718,797.802185058593,806.666687011718,F
793.369934082031,806.263732910156,796.996337890625,794.175842285156,F
775.641052246093,828.02197265625,792.161193847656,782.087890625,F
775.641052246093,874.358947753906,783.699645996093,782.893798828125,F
791.758239746093,807.472534179687,789.743591308593,803.040283203125,F
801.428588867187,761.538452148437,801.025634765625,810.293029785156,F
791.355285644531,799.816833496093,785.714294433593,803.846130371093,F
777.655700683593,797.802185058593,779.670349121093,780.476196289062,F
792.161193847656,755.8974609375,792.161193847656,793.772888183593,F
797.399291992187,759.120849609375,775.641052246093,800.622680664062,F
792.564086914062,820.366271972656,780.0732421875,784.1025390625,F
799.010986328125,807.87548828125,795.384643554687,794.175842285156,F
792.564086914062,763.9560546875,807.069580078125,788.937744140625,F
798.205139160156,743.003662109375,808.278381347656,799.816833496093,F
781.684997558593,743.003662109375,782.893798828125,792.161193847656,F
768.791198730468,767.179504394531,786.520141601562,785.714294433593,F
770.402954101562,763.553100585937,792.967041015625,789.743591308593,F
780.879150390625,780.0732421875,790.549438476562,798.608032226562,F
812.307678222656,811.098876953125,813.91943359375,828.02197265625,B
796.190490722656,811.501831054687,806.666687011718,813.113525390625,B
810.695983886718,814.725280761718,809.89013671875,819.157531738281,B
827.216125488281,810.293029785156,809.084228515625,831.245422363281,B
815.128234863281,806.666687011718,800.219787597656,823.186828613281,B
805.054931640625,809.487182617187,800.622680664062,819.96337890625,B
793.772888183593,811.90478515625,800.219787597656,799.010986328125,B
805.860778808593,813.91943359375,799.010986328125,796.593383789062,B
826.00732421875,809.487182617187,805.054931640625,819.157531738281,B
